縣市名稱,查報均價(元/20公斤(桶)),查報日期(年/月)
高雄市,781,201503
澎湖縣,803,201503
屏東縣,766,201503
臺東縣,820,201503
花蓮縣,824,201503
金門縣,800,201503
連江縣,820,201503
臺北市,877,201504
基隆市,860,201504
新北市,825,201504
宜蘭縣,760,201504
新竹市,779,201504
新竹縣,781,201504
桃園市,770,201504
苗栗縣,796,201504
臺中市,783,201504
彰化縣,762,201504
南投縣,772,201504
嘉義市,761,201504
嘉義縣,761,201504
雲林縣,776,201504
臺南市,773,201504
高雄市,772,201504
澎湖縣,793,201504
屏東縣,758,201504
臺東縣,809,201504
花蓮縣,818,201504
金門縣,790,201504
連江縣,810,201504
臺北市,863,201505
基隆市,843,201505
新北市,815,201505
宜蘭縣,754,201505
新竹市,770,201505
新竹縣,778,201505
桃園市,766,201505
苗栗縣,787,201505
臺中市,776,201505
彰化縣,749,201505
南投縣,760,201505
嘉義市,746,201505
嘉義縣,750,201505
雲林縣,766,201505
臺南市,763,201505
高雄市,764,201505
澎湖縣,782,201505
屏東縣,746,201505
臺東縣,796,201505
花蓮縣,808,201505
金門縣,780,201505
連江縣,800,201505
臺北市,829,201506
基隆市,824,201506
新北市,785,201506
宜蘭縣,726,201506
新竹市,746,201506
新竹縣,744,201506
桃園市,736,201506
苗栗縣,760,201506
臺中市,745,201506
彰化縣,722,201506
南投縣,733,201506
嘉義市,711,201506
嘉義縣,726,201506
雲林縣,736,201506
臺南市,738,201506
高雄市,735,201506
澎湖縣,760,201506
屏東縣,720,201506
臺東縣,766,201506
花蓮縣,782,201506
金門縣,757,201506
連江縣,770,201506
臺北市,832,201507
基隆市,818,201507
新北市,785,201507
宜蘭縣,726,201507
新竹市,752,201507
新竹縣,740,201507
桃園市,736,201507
苗栗縣,758,201507
臺中市,748,201507
彰化縣,720,201507
南投縣,730,201507
嘉義市,716,201507
嘉義縣,723,201507
雲林縣,736,201507
臺南市,735,201507
高雄市,735,201507
澎湖縣,759,201507
屏東縣,719,201507
臺東縣,766,201507
花蓮縣,781,201507
金門縣,760,201507
連江縣,770,201507
臺北市,833,201508
基隆市,805,201508
新北市,779,201508
宜蘭縣,715,201508
新竹市,758,201508
新竹縣,737,201508
桃園市,728,201508
苗栗縣,747,201508
臺中市,736,201508
彰化縣,714,201508
南投縣,722,201508
嘉義市,706,201508
嘉義縣,711,201508
雲林縣,726,201508
臺南市,728,201508
高雄市,726,201508
澎湖縣,759,201508
屏東縣,711,201508
臺東縣,764,201508
花蓮縣,769,201508
金門縣,752,201508
連江縣,760,201508
臺北市,780,201509
基隆市,753,201509
新北市,724,201509
宜蘭縣,656,201509
新竹市,687,201509
新竹縣,670,201509
桃園市,673,201509
苗栗縣,690,201509
臺中市,675,201509
彰化縣,654,201509
南投縣,668,201509
嘉義市,654,201509
嘉義縣,655,201509
雲林縣,669,201509
臺南市,671,201509
高雄市,669,201509
澎湖縣,702,201509
屏東縣,657,201509
臺東縣,706,201509
花蓮縣,716,201509
金門縣,708,201509
連江縣,700,201509
臺北市,798,201510
基隆市,775,201510
新北市,743,201510
宜蘭縣,686,201510
新竹市,722,201510
新竹縣,696,201510
桃園市,697,201510
苗栗縣,717,201510
臺中市,702,201510
彰化縣,680,201510
南投縣,695,201510
嘉義市,677,201510
嘉義縣,674,201510
雲林縣,692,201510
臺南市,702,201510
高雄市,691,201510
澎湖縣,722,201510
屏東縣,679,201510
臺東縣,720,201510
花蓮縣,739,201510
金門縣,728,201510
連江縣,725,201510
臺北市,837,201511
基隆市,804,201511
新北市,779,201511
宜蘭縣,717,201511
新竹市,758,201511
新竹縣,742,201511
桃園市,732,201511
苗栗縣,751,201511
臺中市,739,201511
彰化縣,710,201511
南投縣,728,201511
嘉義市,703,201511
